iter	Logloss
0	0.6682962957
1	0.6468978607
2	0.6244752272
3	0.6043446117
4	0.588782221
5	0.5727134194
6	0.5584710076
7	0.5442384046
8	0.5313386821
9	0.5206597563
10	0.5105334965
11	0.5015384239
12	0.4950929343
13	0.487727429
14	0.4819678381
15	0.4749299581
16	0.4687798938
17	0.4639780828
18	0.4587636465
19	0.4538518461
20	0.4505610748
21	0.4473598549
22	0.4447370099
23	0.4427514617
24	0.4392738465
25	0.436240473
26	0.4333427143
27	0.4318808722
28	0.429618222
29	0.4265869992
30	0.4244634834
31	0.4216367106
32	0.4204769167
33	0.4179511952
34	0.4159268949
35	0.4134382002
36	0.4121822451
37	0.4104348829
38	0.4086793942
39	0.4077566402
40	0.4070230178
41	0.4061464397
42	0.4045131342
43	0.4030171172
44	0.401502392
45	0.4005639943
46	0.3991201127
47	0.397669867
48	0.3966123078
49	0.3956478473
50	0.3948476005
51	0.3936861626
52	0.3929414764
53	0.3918174218
54	0.3907363727
55	0.3904661939
56	0.3894134701
57	0.3885709068
58	0.3878233211
59	0.3871981294
60	0.3865144534
61	0.3855171614
62	0.3843856104
63	0.3833513751
64	0.3826630794
65	0.382160939
66	0.3811510867
67	0.3810255837
68	0.3802931917
69	0.379401437
70	0.378513908
71	0.378171963
72	0.3775792623
73	0.3768598303
74	0.3759280788
75	0.3751348019
76	0.3745013241
77	0.374386987
78	0.3738105533
79	0.3731806424
80	0.3725449392
81	0.3720585722
82	0.3712842485
83	0.3706649014
84	0.3700469884
85	0.3695653397
86	0.3693562583
87	0.3688751923
88	0.3683411606
89	0.3674916638
90	0.3671121241
91	0.3665122532
92	0.365808641
93	0.3653160529
94	0.3651466849
95	0.3648957449
96	0.364025536
97	0.3635424863
98	0.3631888342
99	0.3626650263
