iter	Passed	Remaining
0	1	169
1	3	176
2	4	152
3	6	167
4	8	159
5	9	149
6	10	142
7	11	135
8	13	131
9	14	129
10	15	124
11	16	119
12	17	113
13	21	133
14	22	128
15	23	124
16	24	121
17	25	117
18	27	117
19	29	119
20	31	117
21	34	122
22	38	128
23	39	124
24	39	119
25	41	116
26	43	116
27	44	113
28	45	110
29	46	108
30	51	115
31	53	112
32	54	110
33	55	108
34	57	106
35	58	104
36	60	102
37	61	100
38	63	99
39	65	97
40	66	95
41	67	93
42	68	91
43	71	90
44	72	88
45	73	86
46	74	83
47	75	81
48	77	80
49	78	78
50	80	76
51	81	75
52	85	76
53	87	74
54	92	75
55	97	76
56	101	76
57	104	75
58	104	72
59	106	70
60	107	68
61	108	66
62	109	64
63	111	62
64	112	60
65	113	58
66	115	57
67	118	55
68	119	53
69	120	51
70	121	49
71	122	47
72	123	45
73	124	43
74	125	41
75	126	40
76	127	38
77	128	36
78	130	34
79	131	32
80	133	31
81	134	29
82	135	27
83	138	26
84	139	24
85	140	22
86	141	21
87	142	19
88	144	17
89	145	16
90	147	14
91	149	12
92	151	11
93	152	9
94	153	8
95	155	6
96	156	4
97	157	3
98	159	1
99	160	0
